onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,617	4	34MG	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1617	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,656	4	34MG	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6656	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,696	4	34MG	3	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	11696	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
16,736	4	34MG	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16736	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,775	4	34MG	5	113	Der vorbestrafte Mann war diesmal sauber.	1	22775	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
27,81	4	34MG	6	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	27810	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
35,85	4	34MG	7	310	### ############ ##### ### #### #### ######### #######	3	35850	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,89	4	34MG	8	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	42890	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
50,936	4	34MG	9	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	50936	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
55,976	4	34MG	10	347	### #### ######## ###### ###### ### ###### ########## ###	3	55976	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,016	4	34MG	11	222	Die Unternehmerin war immer in Eile.	2	62016	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
67,05	4	34MG	12	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	67050	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
73,09	4	34MG	13	357	##### #### ############## ##### #### ######## #########	3	73090	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,125	4	34MG	14	262	Dieser Mann ist echt hŸbsch.	2	81125	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
86,165	4	34MG	15	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	86165	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
94,205	4	34MG	16	337	## #### #### ### ##### ########### ###### #########	3	94205	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,246	6	34MG	17	406	Hast du gerade Rauten gesehen?	4	105246	Ja	3787	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,276	4	34MG	18	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	114276	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
122,322	4	34MG	19	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	122322	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
127,362	4	34MG	20	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	127362	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,402	4	34MG	21	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	132402	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
138,442	4	34MG	22	322	### ############## ### ##### ### ####	3	138442	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,476	4	34MG	23	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	144476	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
