onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,634	4	28SM	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1634	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,669	4	28SM	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6669	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,708	4	28SM	3	262	Dieser Mann ist echt hŸbsch.	2	11708	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
16,748	4	28SM	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16748	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,788	4	28SM	5	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	22788	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
27,822	4	28SM	6	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	27822	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
35,861	4	28SM	7	308	### ###### ### ########## ### ##########	3	35861	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,902	4	28SM	8	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	42902	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
50,947	4	28SM	9	113	Der vorbestrafte Mann war diesmal sauber.	1	50947	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
55,988	4	28SM	10	360	##### ###### ##### ##### ######### ### ###### #### #####	3	55988	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,027	4	28SM	11	212	Das Thema des Matheunterrichts ist schwierig.	2	62027	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
67,062	4	28SM	12	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	67062	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
73,102	4	28SM	13	334	#### ########### ############## ###### ### ##### ####	3	73102	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,136	4	28SM	14	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	81136	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
86,177	4	28SM	15	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	86177	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
94,216	4	28SM	16	319	### ###### ####### ###### ##### ####### ########### ######	3	94216	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,257	6	28SM	17	401	Hast du eben Rautezeichen gesehen?	4	105257	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,287	4	28SM	18	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	114287	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
122,333	4	28SM	19	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	122333	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
127,373	4	28SM	20	326	###### ####### ######### #### ### ################# ## #########	3	127373	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,413	4	28SM	21	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	132413	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
138,452	4	28SM	22	359	###### ### ###### #### ### ########## ### ####### #######	3	138452	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,487	4	28SM	23	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	144487	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
155,521	4	28SM	24	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	155521	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
161,562	4	28SM	25	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	161562	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
170,597	4	28SM	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170597	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
